"","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","date_collected","identified_by","date_identified","identification_remarks","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type"
"18","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","Riverside","Santa Rosa Mountains; collecting in the Santa Rosa Mountain Wilderness area; west side of Martinez Mountain; at meeting point of Horsethief Creek and the Cactus Spring Trail.",33.57455,-116.41693,2014-11-14,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430549733","Duncan S. Bell","7705",2014-11-14,NA,NA,NA,NA,0,NA,1,"specimen"
"19","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","24 Km al E de Mision San Borja, Sierra La Libertad",28.841667,-113.675,1978-03-28,"GBIF","IBUNAM","IBUNAM","IBUNAM","MEXU",2859,"1895558656","Kevin C. Nixon",NA,1978-03-28,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"20","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"Guadalupe Island; in arroyo tributary to North Twin Canyon and 2.0 miles east of Mt. Augusta.",29.10243,-118.28748,1967-05-02,"GBIF","SD","SD","SD",NA,4760,"2424807158","Reid Moran","13789",1967-05-02,NA,NA,NA,NA,0,NA,1,"specimen"
"21","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Ensenada","Ridge above and W of Tigre Canyon, Sierra San Borja",28.858333,-113.641667,1962-10-16,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1893391726","R. Moran",NA,1962-10-16,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"22","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N","N",NA,"Mexico","Baja California",NA,"19 mi E of Ensenada, 3 mi W of Ojos Negros Valley",31.8882,-116.3224,NA,"GBIF","SBBG","SBBG","SBBG","SBBG",4756,"2629903076","C. H. Muller",NA,NA,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"23","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","mexico, powo",0,"N","N",NA,"Mexico","Baja California",NA,"",30.530862,-115.082026,1875-01-01,"GBIF","NHMUK","NHMUK","NHMUK","BOT",1748,"1057329684","Edward Palmer","88",1875-01-01,"Muller",NA,NA,NA,0,NA,1,"specimen"
"24","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","mexico",0,"N","N",NA,"Mexico","Baja California",NA,"South of Tecate: About 5.5 km south on Hwy 3 to Ensenada near El Podrigal.",32.516667,-116.616667,1985-06-07,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430334393","Robert F. Thorne, Walter Wisura","61153",1985-06-07,NA,NA,NA,NA,0,NA,1,"specimen"
"25","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","N","Native to region, as per checklist","usda",0,"N","N","Ie","United States","California","San Diego","San Ysidro Mountains: Marron Valley.",32.571667,-116.725556,1999-03-24,"GBIF","RSA","RSA","RSA","VascularPlants",4746,"2430549351","Mark A. Elvin, G. F. Pratt","1305",1999-03-24,NA,NA,NA,NA,0,NA,1,"specimen"
"26","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"27","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30162012,-80.834769651,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"28","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"29","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"30","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"31","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30162012,-80.834769651,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"32","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"33","Quercus tomentella","Fagaceae","Quercus tomentella f. conjungens (Trel.) Trel.","Fagaceae","Quercus tomentella fo. conjungens","(Trel.) Trel.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California",NA,"",37,-119,1920-06-14,"GBIF","F","F","F","Botany",4382,"1228505618","L. W. Nuttall","333",1920-06-14,NA,NA,NA,NA,0,NA,1,"specimen"
"34","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30360648,-80.836093785,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"35","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","A","Absent from all checklists for region","mexico, powo",1,"N","A",NA,"Mexico","Chihuahua",NA,"Rocky slopes in Pine-Oak forest, continental divide on Hwy #260 between Cuahutémo and La Junta.",28.66666,-106.75,NA,"MO","MO","MO","MO",NA,267,NA,"George F. Freytag & J.W. Baxter","45",NA,"D.E. Breedlove,",1985-01-01,NA,0,0,NA,1,"specimen"
"36","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","A","Absent from all checklists for region","mexico, powo",1,"N","A",NA,"Mexico","Chihuahua",NA,"Rocky slopes in Pine-Oak forest, continental divide on Hwy #260 between Cuahutémoc and La Junta.",28.66666,-106.75,1949-07-27,"MO","MO","MO","MO",NA,267,NA,"George F. Freytag & J.W. Baxter","42",1949-07-27,"D.E. Breedlove,",1985-01-01,NA,0,0,NA,1,"specimen"
"37","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Arkansas","Nevada","Bluff City ""Dump Yard"" W of AR 387 S of AR 24",33.707967,-93.133176,1997-10-04,"GBIF","KU","KU","KU","KANU",4532,"623656320","R Dale Thomas; Carl Amason",NA,1997-10-04,"R Dale Thomas",NA,NA,NA,0,NA,1,"specimen"
"38","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California",NA,"Santa Catalina Island (California)",33.38789,-118.41631,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"731826600","Nuttall, L.W.",NA,NA,NA,NA,NA,NA,0,NA,1,"specimen"
"39","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","A","Absent from all checklists for region","mexico, powo",1,"N","A",NA,"Mexico","Chihuahua",NA,"Mojarachic, southwest of San Juanito.",27.96666,-105,1954-08-01,"MO","MO","MO","MO",NA,267,NA,"Irwin W. Knobloch","1138",1954-08-01,"D.E. Breedlove,",1994-01-01,NA,0,0,NA,1,"specimen"
"40","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"41","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"42","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Tijuana","cañón la Presa 25 Km al sureste de Tijuana, al pie de una ladera norte",32.399917,-116.841667,1982-05-13,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069940","Reid Moran",NA,1982-05-13,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"43","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30360648,-80.836093785,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"44","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30162012,-80.834769651,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"45","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30162012,-80.834769651,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"46","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Henry","6 mi E of Abbeville. Hwy 10 at ca. 6 mi. E of jct with Hwy. 95 in Abbeville",31.55333,-85.15028,1998-08-14,"GBIF","UA","UA","UA","UNA",1777,"56642712","John R. MacDonald with Robert Kral",NA,1998-08-14,NA,NA,NA,NA,0,NA,1,"specimen"
"47","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Pinckney Island NWR - White Point",32.272718051,-80.756936332,1996-06-28,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1996-06-28,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"48","Quercus cedrosensis","Fagaceae","Quercus cedrosensis C.H.Mull.","Fagaceae","Quercus cedrosensis","C.H. Mull.","flowering plants","Accepted","Fagaceae","C.H. Mull.","Ne","Endemic to region, as per checklist","mexico",0,"Ne","Ne",NA,"Mexico","Baja California","Tijuana","en la ladera N 8 Km al ESE de la prese Rodríguez, este es el ejemplar más al norte conocido, a 16 K de la frontera con EEUU",32.416861,-116.833222,1970-11-05,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1894069943","Reid Moran",NA,1970-11-05,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"49","Quercus tomentella","Fagaceae","Quercus tomentella Engelm.","Fagaceae","Quercus tomentella","Engelm.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California",NA,"(California) Santa Catalina Island",33.38789,-118.41631,NA,"GBIF","MNHN","MNHN","MNHN","P",4620,"731809027","Knopf, E.C.",NA,NA,NA,NA,NA,NA,0,NA,1,"specimen"
"50","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Florida","Escambia","Median of Campus Drive E of John C. Pace. Jr. Hall (Building 930), main campus of University of West Florida, near Pensacola.",30.5525,-87.2153,2014-07-04,"GBIF","USF","USF","USF","Herb",4889,"1946183044","J. R. Burkhalter","24830",2014-07-04,NA,NA,NA,1,0,NA,1,"specimen"
"51","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Beaufort","Spring Island",32.30162012,-80.834769651,1997-05-12,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-12,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"52","Quercus tomentella","Fagaceae","Quercus tomentella f. conjungens (Trel.) Trel.","Fagaceae","Quercus tomentella fo. conjungens","(Trel.) Trel.","flowering plants","Accepted","Fagaceae","Engelm.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","California",NA,"",37,-119,1920-06-14,"GBIF","F","F","F","Botany",4382,"1228350483","L. W. Nuttall","333bis",1920-06-14,NA,NA,NA,NA,0,NA,1,"specimen"
"53","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Perry","Talladega-Oak National Forest - Barton's Beach #3",32.69441,-87.23588,2000-08-31,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,2000-08-31,"Milo Pyne",2000-08-31,NA,0,0,NA,1,"plot"
"54","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","A","Absent from all checklists for region","mexico, powo",1,"N","A",NA,"Mexico","Chihuahua",NA,"Along road between Babicora and Yepomera",29.189900909883,-107.894476807283,1977-04-08,"GBIF","SDNHM","SDNHM","SDNHM","SD",2525,"1893412380","Wieder; Bennett; D. Dunn; K. Torke",NA,1977-04-08,"NO DISPONIBLE",NA,NA,NA,0,NA,1,"specimen"
"55","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Perry","Talladega-Oak National Forest - Barton's Beach #3",32.69441,-87.23588,2000-08-31,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,2000-08-31,"Milo Pyne",2000-08-31,NA,0,0,NA,1,"plot"
